,Unnamed: 0,cantonName,faction,party,birthDate,firstName,lastName,gender,entryDate
0,4096,SZ,M-E,M-E,1955-04-03T00:00:00Z,Alois,Gmür,m,2011-12-05T00:00:00Z
1,4097,LU,M-E,M-E,1958-07-04T00:00:00Z,Leo,Müller,m,2011-12-05T00:00:00Z
2,4098,NW,V,UDC,1971-04-22T00:00:00Z,Peter,Keller,m,2011-12-05T00:00:00Z
3,514,ZH,None,UDC,1968-01-16T00:00:00Z,Jürg,Stahl,m,1999-12-06T00:00:00Z
4,4100,BE,V,UDC,1967-08-07T00:00:00Z,Albert,Rösti,m,2011-12-05T00:00:00Z
5,4101,FR,M-E,M-E,1959-10-13T00:00:00Z,Christine,Bulliard-Marbach,f,2011-12-05T00:00:00Z
6,4102,BE,GL,pvl,1979-07-02T00:00:00Z,Kathrin,Bertschy,f,2011-12-05T00:00:00Z
7,4103,TG,None,UDC,1964-09-20T00:00:00Z,Markus,Hausammann,m,2011-12-05T00:00:00Z
8,1120,GE,S,PSS,1959-07-08T00:00:00Z,Carlo,Sommaruga,m,2003-12-01T00:00:00Z
9,519,TG,None,UDC,1951-02-05T00:00:00Z,Hansjörg,Walter,m,1999-12-06T00:00:00Z
10,4106,ZH,None,PSS,1970-11-10T00:00:00Z,Martin,Naef,m,2011-12-05T00:00:00Z
11,4107,VD,None,PSS,1973-09-14T00:00:00Z,Cesla,Amarelle,f,2011-12-05T00:00:00Z
12,4108,VD,None,pvl,1972-04-13T00:00:00Z,Isabelle,Chevalley,f,2011-12-05T00:00:00Z
13,4109,FR,S,PSS,1978-09-09T00:00:00Z,Valérie,Piller Carrard,f,2011-12-05T00:00:00Z
14,4110,ZH,None,UDC,1959-11-27T00:00:00Z,Hans,Egloff,m,2011-12-05T00:00:00Z
15,4113,GE,None,PSS,1951-04-20T00:00:00Z,Manuel,Tornare,m,2011-12-05T00:00:00Z
16,4114,AG,V,UDC,1960-03-24T00:00:00Z,Hansjörg,Knecht,m,2011-12-05T00:00:00Z
17,4115,VD,None,PSS,1979-08-23T00:00:00Z,Jean Christophe,Schwaab,m,2011-12-05T00:00:00Z
18,4116,SZ,RL,PLR,1976-01-12T00:00:00Z,Petra,Gössi,f,2011-12-05T00:00:00Z
19,4118,TG,M-E,M-E,1962-04-05T00:00:00Z,Christian,Lohr,m,2011-12-05T00:00:00Z
20,4120,TI,M-E,M-E,1982-11-06T00:00:00Z,Marco,Romano,m,2011-12-05T00:00:00Z
21,4121,SG,S,PSS,1964-05-14T00:00:00Z,Barbara,Gysi,f,2011-12-12T00:00:00Z
22,4123,FR,S,PSS,1961-11-26T00:00:00Z,Ursula,Schneider Schüttel,f,2012-05-29T00:00:00Z
