,Age,Unnamed: 0,Unnamed: 0.1,cantonName,faction,party,birthDate,firstName,lastName,gender,entryDate
124,28,124,4228,BL,S,PSS,1994-01-23T00:00:00Z,Samira,Marti,f,2018-12-10T00:00:00Z
176,28,176,4290,ZH,RL,PLR,1994-02-26T00:00:00Z,Andri,Silberschmidt,m,2019-12-02T00:00:00Z
175,30,175,4289,ZH,G,VERT-E-S,1992-08-22T00:00:00Z,Meret,Schneider,f,2019-12-02T00:00:00Z
126,30,126,4229,SG,V,UDC,1992-08-02T00:00:00Z,Mike,Egger,m,2019-03-04T00:00:00Z
206,31,206,4326,ZH,V,UDC,1991-08-16T00:00:00Z,Benjamin,Fischer,m,2022-02-28T00:00:00Z
172,31,172,4286,SG,G,VERT-E-S,1991-10-22T00:00:00Z,Franziska,Ryser,f,2019-12-02T00:00:00Z
148,32,148,4262,BE,S,PSS,1990-03-20T00:00:00Z,Tamara,Funiciello,f,2019-12-02T00:00:00Z
117,32,117,4223,ZH,S,PSS,1990-07-08T00:00:00Z,Fabian,Molina,m,2018-03-15T00:00:00Z
166,33,166,4280,VD,G,VERT-E-S,1989-07-09T00:00:00Z,Léonore,Porchet,f,2019-12-02T00:00:00Z
74,34,74,4186,GE,G,VERT-E-S,1988-01-25T00:00:00Z,Lisa,Mazzone,f,2015-11-30T00:00:00Z
200,34,200,4318,BS,S,PSS,1988-08-03T00:00:00Z,Sarah,Wyss,f,2020-12-18T00:00:00Z
177,34,177,4292,UR,M-E,M-E,1988-05-02T00:00:00Z,Simon,Stadler,m,2019-12-02T00:00:00Z
196,35,196,4314,AG,V,UDC,1987-04-25T00:00:00Z,Stefanie,Heimgartner,f,2019-12-02T00:00:00Z
153,35,153,4267,ZH,GL,pvl,1987-09-08T00:00:00Z,Corina,Gredig,f,2019-12-02T00:00:00Z
110,35,110,4218,AG,G,VERT-E-S,1987-02-06T00:00:00Z,Irène,Kälin,f,2017-11-27T00:00:00Z
300,35,300,4091,VS,None,PSS,1987-09-07T00:00:00Z,Mathias,Reynard,m,2011-12-05T00:00:00Z
90,35,90,4198,ZH,S,PSS,1987-11-09T00:00:00Z,Mattea,Meyer,f,2015-11-30T00:00:00Z
156,36,156,4270,NE,S,PSS,1986-04-04T00:00:00Z,Baptiste,Hurni,m,2019-12-02T00:00:00Z
275,36,275,4057,AG,S,PSS,1986-02-19T00:00:00Z,Cédric,Wermuth,m,2011-12-05T00:00:00Z
92,38,92,4193,VS,RL,PLR,1984-03-27T00:00:00Z,Philippe,Nantermod,m,2015-11-30T00:00:00Z
27,38,27,4130,BE,S,PSS,1984-10-04T00:00:00Z,Nadine,Masshardt,f,2013-03-04T00:00:00Z
207,38,207,4327,VD,G,VERT-E-S,1983-12-31T00:00:00Z,Raphaël,Mahaim,m,2022-02-28T00:00:00Z
109,38,109,4216,TG,V,UDC,1984-01-13T00:00:00Z,Diana,Gutjahr,f,2017-11-27T00:00:00Z
135,38,135,4250,AG,V,UDC,1984-04-13T00:00:00Z,Martina,Bircher,f,2019-12-02T00:00:00Z
167,38,167,4281,GR,S,PSS,1984-10-12T00:00:00Z,Jon,Pult,m,2019-12-02T00:00:00Z
25,39,25,4128,BE,G,VERT-E-S,1983-08-26T00:00:00Z,Aline,Trede,f,2013-03-04T00:00:00Z
155,39,155,4268,TI,G,VERT-E-S,1983-10-06T00:00:00Z,Greta,Gysin,f,2019-12-02T00:00:00Z
127,39,127,4232,VD,None,PSS,1982-12-09T00:00:00Z,Nicolas,Rochat Fernandez,m,2019-05-07T00:00:00Z
131,40,131,4246,BE,G,VERT-E-S,1982-01-11T00:00:00Z,Christine,Badertscher,f,2019-12-02T00:00:00Z
237,40,237,3901,SG,V,UDC,1982-09-18T00:00:00Z,Lukas,Reimann,m,2007-12-03T00:00:00Z
20,40,20,4120,TI,M-E,M-E,1982-11-06T00:00:00Z,Marco,Romano,m,2011-12-05T00:00:00Z
39,40,39,4143,VD,None,PSS,1982-02-04T00:00:00Z,Rebecca Ana,Ruiz,f,2014-06-02T00:00:00Z
152,40,152,4266,AG,V,UDC,1982-04-22T00:00:00Z,Benjamin,Giezendanner,m,2019-12-02T00:00:00Z
33,40,33,4138,GE,None,PDC,1982-01-13T00:00:00Z,Guillaume,Barazzone,m,2013-12-09T00:00:00Z
52,40,52,4164,SO,V,UDC,1982-01-29T00:00:00Z,Christian,Imark,m,2015-11-30T00:00:00Z
145,40,145,4259,TI,RL,PLR,1981-12-16T00:00:00Z,Alex,Farinelli,m,2019-12-02T00:00:00Z
174,41,174,4288,ZH,G,VERT-E-S,1980-11-14T00:00:00Z,Marionna,Schlatter,f,2019-12-02T00:00:00Z
51,41,51,4163,BE,V,UDC,1981-03-25T00:00:00Z,Erich,Hess,m,2015-11-30T00:00:00Z
132,41,132,4247,BE,G,VERT-E-S,1980-12-14T00:00:00Z,Kilian,Baumann,m,2019-12-02T00:00:00Z
141,41,141,4255,GE,S,PSS,1981-02-13T00:00:00Z,Christian,Dandrès,m,2019-12-02T00:00:00Z
161,41,161,4275,GE,M-E,M-E,1981-01-12T00:00:00Z,Vincent,Maitre,m,2019-12-02T00:00:00Z
223,41,223,3882,ZH,G,VERT-E-S,1980-12-21T00:00:00Z,Bastien,Girod,m,2007-12-03T00:00:00Z
194,41,194,4311,TI,V,UDC,1981-09-19T00:00:00Z,Piero,Marchesi,m,2019-12-02T00:00:00Z
48,41,48,4160,SZ,V,UDC,1981-02-01T00:00:00Z,Marcel,Dettling,m,2015-11-30T00:00:00Z
201,41,201,4319,VS,V,UDC,1981-06-03T00:00:00Z,Michael,Graber,m,2021-05-04T00:00:00Z
245,41,245,3912,BE,RL,PLR,1981-06-30T00:00:00Z,Christian,Wasserfallen,m,2007-12-03T00:00:00Z
72,42,72,4184,BS,G,BastA,1980-06-23T00:00:00Z,Sibel,Arslan,f,2015-11-30T00:00:00Z
281,42,281,4070,GR,M-E,M-E,1980-08-20T00:00:00Z,Martin,Candinas,m,2011-12-05T00:00:00Z
79,42,79,4190,SG,RL,PLR,1980-08-29T00:00:00Z,Marcel,Dobler,m,2015-11-30T00:00:00Z
203,42,203,4320,VS,S,PSS,1980-07-31T00:00:00Z,Emmanuel,Amoos,m,2021-06-01T00:00:00Z
121,42,121,4226,BE,None,PSS,1980-05-07T00:00:00Z,Adrian,Wüthrich,m,2018-05-29T00:00:00Z
103,42,103,4213,VD,S,PSS,1980-06-11T00:00:00Z,Samuel,Bendahan,m,2017-06-15T00:00:00Z
178,42,178,4293,TG,V,UDC,1980-04-12T00:00:00Z,Manuel,Strupler,m,2019-12-02T00:00:00Z
277,42,277,4065,BE,V,UDC,1980-02-14T00:00:00Z,Nadja,Umbricht Pieren,f,2011-12-05T00:00:00Z
44,43,44,4156,VD,V,UDC,1979-09-27T00:00:00Z,Michaël,Buffat,m,2015-11-30T00:00:00Z
266,43,266,4053,ZG,V,UDC,1979-01-13T00:00:00Z,Thomas,Aeschi,m,2011-12-05T00:00:00Z
118,43,118,4224,BE,S,PSS,1979-02-07T00:00:00Z,Flavia,Wasserfallen,f,2018-05-29T00:00:00Z
29,43,29,4179,AR,V,UDC,1979-02-20T00:00:00Z,David,Zuberbühler,m,2015-11-30T00:00:00Z
234,43,234,3897,ZH,GL,pvl,1979-04-06T00:00:00Z,Tiana Angelina,Moser,f,2007-12-03T00:00:00Z
6,43,6,4102,BE,GL,pvl,1979-07-02T00:00:00Z,Kathrin,Bertschy,f,2011-12-05T00:00:00Z
17,43,17,4115,VD,None,PSS,1979-08-23T00:00:00Z,Jean Christophe,Schwaab,m,2011-12-05T00:00:00Z
123,43,123,4227,ZH,None,pvl,1979-02-05T00:00:00Z,Daniel,Frei,m,2018-12-10T00:00:00Z
299,43,299,4090,GE,V,UDC,1979-03-15T00:00:00Z,Céline,Amaudruz,f,2011-12-05T00:00:00Z
45,43,45,4157,BE,None,UDC,1979-04-10T00:00:00Z,Manfred,Bühler,m,2015-11-30T00:00:00Z
163,44,163,4277,BE,GL,pvl,1977-12-03T00:00:00Z,Melanie,Mettler,f,2019-12-02T00:00:00Z
179,44,179,4294,AG,M-E,PEV,1977-12-20T00:00:00Z,Lilian,Studer,f,2019-12-02T00:00:00Z
91,44,91,1131,BE,None,PSS,1978-07-16T00:00:00Z,Evi,Allemann,f,2003-12-01T00:00:00Z
125,44,125,4230,VS,M-E,M-E,1978-07-07T00:00:00Z,Philipp Matthias,Bregy,m,2019-03-04T00:00:00Z
195,44,195,4313,AG,RL,PLR,1978-05-23T00:00:00Z,Maja,Riniker,f,2019-12-02T00:00:00Z
185,44,185,4300,ZH,S,PSS,1978-05-26T00:00:00Z,Céline,Widmer,f,2019-12-02T00:00:00Z
13,44,13,4109,FR,S,PSS,1978-09-09T00:00:00Z,Valérie,Piller Carrard,f,2011-12-05T00:00:00Z
43,44,43,4155,UR,None,None,1978-04-24T00:00:00Z,Beat,Arnold,m,2015-11-30T00:00:00Z
146,44,146,4260,NE,G,VERT-E-S,1978-02-25T00:00:00Z,Fabien,Fivaz,m,2019-12-02T00:00:00Z
147,45,147,4261,SG,V,UDC,1977-06-04T00:00:00Z,Esther,Friedli,f,2019-12-02T00:00:00Z
238,45,238,3902,ZH,None,UDC,1976-11-19T00:00:00Z,Natalie,Rickli,f,2007-12-03T00:00:00Z
73,45,73,4185,AG,None,VERT-E-S,1977-03-30T00:00:00Z,Jonas,Fricker,m,2015-11-30T00:00:00Z
295,45,295,4086,VS,None,PDC,1977-07-12T00:00:00Z,Yannick,Buttet,m,2011-12-05T00:00:00Z
193,45,193,4310,BE,V,UDC,1977-07-19T00:00:00Z,Lars,Guggisberg,m,2019-12-02T00:00:00Z
158,46,158,4272,GE,G,VERT-E-S,1976-06-09T00:00:00Z,Delphine,Klopfenstein Broggini,f,2019-12-02T00:00:00Z
221,46,221,3880,BE,V,UDC,1976-08-03T00:00:00Z,Andrea Martina,Geissbühler,f,2007-12-03T00:00:00Z
130,46,130,4245,FR,G,VERT-E-S,1976-01-21T00:00:00Z,Gerhard,Andrey,m,2019-12-02T00:00:00Z
18,46,18,4116,SZ,RL,PLR,1976-01-12T00:00:00Z,Petra,Gössi,f,2011-12-05T00:00:00Z
136,46,136,4203,ZH,S,PSS,1976-08-22T00:00:00Z,Angelo,Barrile,m,2015-12-08T00:00:00Z
62,46,62,4174,ZH,V,UDC,1976-06-18T00:00:00Z,Barbara,Steinemann,f,2015-11-30T00:00:00Z
276,46,276,4063,SO,M-E,M-E,1976-06-17T00:00:00Z,Stefan,Müller-Altermatt,m,2011-12-05T00:00:00Z
189,47,189,4307,VD,G,VERT-E-S,1975-06-18T00:00:00Z,Valentine,Python,f,2019-12-02T00:00:00Z
122,47,122,4225,ZH,M-E,M-E,1975-08-31T00:00:00Z,Philipp,Kutter,m,2018-06-11T00:00:00Z
140,47,140,4254,NE,RL,PLR,1975-04-03T00:00:00Z,Damien,Cottier,m,2019-12-02T00:00:00Z
159,47,159,4273,GR,S,PSS,1975-09-16T00:00:00Z,Sandra,Locher Benguerel,f,2019-12-02T00:00:00Z
164,47,164,4278,VD,G,VERT-E-S,1975-01-20T00:00:00Z,Sophie,Michaud Gigon,f,2019-12-02T00:00:00Z
99,47,99,1139,BE,RL,PLR,1975-07-27T00:00:00Z,Christa,Markwalder,f,2003-12-01T00:00:00Z
198,47,198,4315,BL,G,VERT-E-S,1975-04-15T00:00:00Z,Florence,Brenzikofer,f,2019-12-09T00:00:00Z
157,47,157,4271,VS,M-E,M-E,1975-03-19T00:00:00Z,Sidney,Kamerzin,m,2019-12-02T00:00:00Z
160,47,160,4274,ZH,GL,pvl,1975-07-20T00:00:00Z,Jörg,Mäder,m,2019-12-02T00:00:00Z
78,47,78,4189,AG,RL,PLR,1975-08-21T00:00:00Z,Thierry,Burkart,m,2015-11-30T00:00:00Z
288,48,288,4077,VD,RL,PLR,1974-08-30T00:00:00Z,Olivier,Feller,m,2011-12-05T00:00:00Z
262,48,262,4046,TI,V,Lega,1974-11-05T00:00:00Z,Lorenzo,Quadri,m,2011-05-30T00:00:00Z
230,48,230,307,SG,None,UDC,1974-08-23T00:00:00Z,Toni,Brunner,m,1995-12-04T00:00:00Z
87,48,87,4197,ZH,S,PSS,1974-06-01T00:00:00Z,Min Li,Marti,f,2015-11-30T00:00:00Z
